LIPID CATEGORY|LIPID CATEGORY|SUM COMPOSITION|INDIVIDUAL LIPID SPECIES |poner por niveles|FORMULA|MONOISOTOPIC MASS|RT
GLYCEROPHOSPHOLIPIDS (GP)||LPC 18:1|PC(0:0/18:1)||C26H52NO7P|521,3484|2,62
GLYCEROPHOSPHOLIPIDS (GP)||LPC 18:2|PC(0:0/18:2)||C26H50NO7P|519,3309|2,05
GLYCEROPHOSPHOLIPIDS (GP)||LPC 18:3|PC(0:0/18:3)||C26H48NO7P|517,3129|2,43
GLYCEROPHOSPHOLIPIDS (GP)||LPC 20:0|PC(0:0/20:0)||C28H58NO7P|551,3994|4,10
GLYCEROPHOSPHOLIPIDS (GP)||LPC 20:2|PC(0:0/20:2)||C28H54NO7P|547,3634|2,88
GLYCEROPHOSPHOLIPIDS (GP)||LPC 20:3|PC(0:0/20:3)||C28H52NO7P|545,3458|2,35
GLYCEROPHOSPHOLIPIDS (GP)||LPC 20:4|PC(0:0/20:4)||C28H50NO7P|543,3303|2,02
GLYCEROPHOSPHOLIPIDS (GP)||LPC 20:5|PC(0:0/20:5)||C28H48NO7P|541,3137|1,38
GLYCEROPHOSPHOLIPIDS (GP)||LPC 22:4|PC(0:0/22:4)||C30H54NO7P|571,3635|2,70
GLYCEROPHOSPHOLIPIDS (GP)||LPC 22:6|PC(0:0/22:6)||C30H50NO7P|567,3352|1,95
GLYCEROPHOSPHOLIPIDS (GP)||LPC 14:0|PC(14:0/0:0)||C22H46NO7P|467,3012|1,80
GLYCEROPHOSPHOLIPIDS (GP)||PC 32:2|PC(14:0_18:2)||C40H76NO8P|729,5311|6,52
GLYCEROPHOSPHOLIPIDS (GP)||PC 34:4|PC(14:0_20:4)||C42H76NO8P|753,5312|6,37
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:6|PC(14:0_22:6)||C44H76NO8P|777,5330|6,14
GLYCEROPHOSPHOLIPIDS (GP)||LPC 15:0|PC(15:0/0:0)||C23H48NO7P|481,3150|2,18
GLYCEROPHOSPHOLIPIDS (GP)||LPC 16:0|PC(16:0/0:0)||C24H50NO7P|495,3326|2,62
GLYCEROPHOSPHOLIPIDS (GP)||PC 32:0|PC(16:0/16:0)||C40H80NO8P|733,5582|9,22
GLYCEROPHOSPHOLIPIDS (GP)||PC 34:1|PC(16:0/18:1)||C42H82NO8P|759,5749|9,57
GLYCEROPHOSPHOLIPIDS (GP)||PC 34:2|PC(16:0/18:2)||C42H80NO8P|757,5615|8,04
GLYCEROPHOSPHOLIPIDS (GP)||PC 34:3|PC(16:0/18:3)||C42H78NO8P|755,5486|7,00
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:4|PC(16:0/20:4)||C44H80NO8P|781,5622|7,82
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:5|PC(16:0/20:5)||C44H78NO8P|779,5462|6,87
GLYCEROPHOSPHOLIPIDS (GP)||PC 38:5|PC(16:0/22:5)||C46H82NO8P|807,5751|8,58
GLYCEROPHOSPHOLIPIDS (GP)||PC 38:6|PC(16:0/22:6)||C46H80NO8P|805,5671|7,48
GLYCEROPHOSPHOLIPIDS (GP)||PC 30:0|PC(16:0_14:0)||C38H76NO8P|705,5304|7,32
GLYCEROPHOSPHOLIPIDS (GP)||PC 32:1|PC(16:0_16:1)||C40H78NO8P|731,5445|7,59
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:3|PC(16:0_20:3)||C44H82NO8P|783,5745|8,59
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:3|PC(16:0_20:3)||C44H82NO8P|783,5769|9,19
GLYCEROPHOSPHOLIPIDS (GP)||PC 38:4|PC(16:0_22:4)||C46H84NO8P|809,5972|9,30
GLYCEROPHOSPHOLIPIDS (GP)||PC 40:4|PC(16:0_24:4)||C48H88NO8P|837,6181|11,67
GLYCEROPHOSPHOLIPIDS (GP)||LPC 16:1|PC(16:1/0:0)||C24H48NO7P|493,3148|1,97
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:5|PC(16:1/20:4)||C44H78NO8P|779,5455|6,55
GLYCEROPHOSPHOLIPIDS (GP)||PC 30:1|PC(16:1_14:0)||C38H74NO8P|703,5152|6,20
GLYCEROPHOSPHOLIPIDS (GP)||PC 34:3|PC(16:1_18:2)||C42H78NO8P|755,5458|6,72
GLYCEROPHOSPHOLIPIDS (GP)||PC 38:7|PC(16:1_22:6)||C46H78NO8P|803,5472|6,32
GLYCEROPHOSPHOLIPIDS (GP)||LPC 17:0|PC(17:0/0:0)||C25H52NO7P|509,3496|3,05
GLYCEROPHOSPHOLIPIDS (GP)||LPC 18:0|PC(18:0/0:0)||C26H54NO7P|523,3631|3,48
GLYCEROPHOSPHOLIPIDS (GP)||PC 34:0|PC(18:0/16:0)||C42H84NO8P|761,5980|11,37
GLYCEROPHOSPHOLIPIDS (GP)||PC 34:3|PC(18:0/16:3)||C42H78NO8P|755,5452|7,20
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:0|PC(18:0/18:0)||C44H88NO8P|789,6257|11,95
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:2|PC(18:0/18:2)||C44H84NO8P|785,5920|10,25
GLYCEROPHOSPHOLIPIDS (GP)||PC 38:1|PC(18:0/20:1)||C46H90NO8P|815,6394|11,97
GLYCEROPHOSPHOLIPIDS (GP)||PC 38:4|PC(18:0/20:4)||C46H84NO8P|809,5980|9,95
GLYCEROPHOSPHOLIPIDS (GP)||PC 40:4|PC(18:0/22:4)||C48H88NO8P|837,6172|11,48
GLYCEROPHOSPHOLIPIDS (GP)||PC 40:5|PC(18:0/22:5)||C48H86NO8P|835,6051|10,19
GLYCEROPHOSPHOLIPIDS (GP)||PC 40:6|PC(18:0/22:6)||C48H84NO8P|833,5969|9,45
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:1|PC(18:0_18:1)||C44H86NO8P|787,6060|11,59
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:3|PC(18:0_18:3)||C44H82NO8P|783,5786|11,47
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:4|PC(18:0_18:4)||C44H80NO8P|781,5588|7,45
GLYCEROPHOSPHOLIPIDS (GP)||PC 38:3|PC(18:0_20:3)||C46H86NO8P|811,6048|11,05
GLYCEROPHOSPHOLIPIDS (GP)||LPC 18:1|PC(18:1/0:0)||C26H52NO7P|521,3455|2,80
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:2|PC(18:1/18:1)||C44H84NO8P|785,5911|9,89
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:3|PC(18:1/18:2)||C44H82NO8P|783,5748|8,27
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:5|PC(18:1/18:4)||C44H78NO8P|779,5465|6,85
GLYCEROPHOSPHOLIPIDS (GP)||PC 38:2|PC(18:1/20:1)||C46H88NO8P|813,6276|11,69
GLYCEROPHOSPHOLIPIDS (GP)||PC 40:7|PC(18:1/22:6)||C48H82NO8P|831,5790|7,68
GLYCEROPHOSPHOLIPIDS (GP)||PC 38:4|PC(18:1_20:3)||C46H84NO8P|809,5962|8,87
GLYCEROPHOSPHOLIPIDS (GP)||PC 38:5|PC(18:1_20:4)||C46H82NO8P|807,5769|8,27
GLYCEROPHOSPHOLIPIDS (GP)||PC 40:6|PC(18:1_22:5)||C48H84NO8P|833,5978|8,25
GLYCEROPHOSPHOLIPIDS (GP)||LPC 18:2|PC(18:2/0:0)||C26H50NO7P|519,3311|2,24
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:3|PC(18:2/18:1)||C44H82NO8P|783,5778|8,10
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:4|PC(18:2/18:2)||C44H80NO8P|781,5583|7,09
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:5|PC(18:2/18:3)||C44H78NO8P|779,5444|6,23
GLYCEROPHOSPHOLIPIDS (GP)||PC 38:6|PC(18:2/20:4)||C46H80NO8P|805,5663|6,89
GLYCEROPHOSPHOLIPIDS (GP)||PC 38:7|PC(18:2_20:5)||C46H78NO8P|803,5461|6,14
GLYCEROPHOSPHOLIPIDS (GP)||LPC 18:3|PC(18:3/0:0)||C26H48NO7P|517,3161|2,62
GLYCEROPHOSPHOLIPIDS (GP)||PC 37:1|PC(19:0_18:1)||C45H88NO8P|801,6275|11,83
GLYCEROPHOSPHOLIPIDS (GP)||PC 37:2|PC(19:0_18:2)||C45H86NO8P|799,6121|11,40
GLYCEROPHOSPHOLIPIDS (GP)||LPC 20:0|PC(20:0/0:0)||C28H58NO7P|551,3963|4,25
GLYCEROPHOSPHOLIPIDS (GP)||PC 40:2|PC(20:0_20:2)||C48H92NO8P|841,6643|12,05
GLYCEROPHOSPHOLIPIDS (GP)||LPC 20:1|PC(20:1_0:0)||C28H56NO7P|549,3766|3,58
GLYCEROPHOSPHOLIPIDS (GP)||PC 38:3|PC(20:1_18:2)||C46H86NO8P|811,6094|10,40
GLYCEROPHOSPHOLIPIDS (GP)||LPC 20:2|PC(20:2/0:0)||C28H54NO7P|547,3661|3,02
GLYCEROPHOSPHOLIPIDS (GP)||LPC 20:3|PC(20:3/0:0)||C28H52NO7P|545,3467|2,53
GLYCEROPHOSPHOLIPIDS (GP)||PC 40:7|PC(20:3/20:4)||C48H82NO8P|831,5707|7,42
GLYCEROPHOSPHOLIPIDS (GP)||LPC 20:4|PC(20:4/0:0)||C28H50NO7P|543,3303|2,18
GLYCEROPHOSPHOLIPIDS (GP)||PC 40:8|PC(20:4/20:4)||C48H80NO8P|829,5589|6,64
GLYCEROPHOSPHOLIPIDS (GP)||LPC 20:5|PC(20:5/0:0)||C28H48NO7P|541,3113|1,75
GLYCEROPHOSPHOLIPIDS (GP)||LPC 22:4|PC(22:4/0:0)||C30H54NO7P|571,3608|2,82
GLYCEROPHOSPHOLIPIDS (GP)||LPC 22:5|PC(22:5_0:0)||C30H52NO7P|569,3485|2,35
GLYCEROPHOSPHOLIPIDS (GP)||LPC 22:6|PC(22:6/0:0)||C30H50NO7P|567,3343|2,10
GLYCEROPHOSPHOLIPIDS (GP)||LPC O-16:0|PC(O-16:0/0:0)||C24H52NO6P|481,3568|3,05
GLYCEROPHOSPHOLIPIDS (GP)||PC O-32:0|PC(O-16:0/16:0)||C40H82NO7P|719,5813|10,87
GLYCEROPHOSPHOLIPIDS (GP)||PC O-36:4/PC P-36:3|PC(O-16:0_20:4)||C44H82NO7P|767,5832|9,05
GLYCEROPHOSPHOLIPIDS (GP)||LPC O-16:1|PC(O-16:1/0:0)||C24H50NO6P|479,3358|2,99
GLYCEROPHOSPHOLIPIDS (GP)||PC O-34:2/PC P-34:1|PC(O-16:1/18:1)/PC(P-16:0/18:1)||C42H82NO7P|743,5776|10,82
GLYCEROPHOSPHOLIPIDS (GP)||PC O-34:3/PC P-34:2|PC(O-16:1/18:2)/PC(P-16:0/18:2)||C42H80NO7P|741,5651|9,00
GLYCEROPHOSPHOLIPIDS (GP)||PC O-36:5/PC P-36:4|PC(O-16:1/20:4)/PC(P-16:0/20:4)||C44H80NO7P|765,5710|8,69
GLYCEROPHOSPHOLIPIDS (GP)||PC O-38:6/PC P-38:5|PC(O-16:1_22:5)/PC(P-16:0_22:5)||C46H82NO7P|791,5783|8,92
GLYCEROPHOSPHOLIPIDS (GP)||LPC O-18:0|PC(O-18:0/0:0)||C26H56NO6P|509,3845|3,89
GLYCEROPHOSPHOLIPIDS (GP)||PC O-38:4/PC P-38:3|PC(O-18:0/20:4)||C46H86NO7P|795,6116|11,40
GLYCEROPHOSPHOLIPIDS (GP)||PC O-36:2/PC P-36:1|PC(O-18:0_18:2)||C44H86NO7P|771,6123|11,59
GLYCEROPHOSPHOLIPIDS (GP)||PC O-38:3/PC P-38:2|PC(O-18:0_20:3)||C46H88NO7P|797,6275|11,82
GLYCEROPHOSPHOLIPIDS (GP)||LPC O-18:1|PC(O-18:1/0:0)||C26H54NO6P|507,3680|3,20
GLYCEROPHOSPHOLIPIDS (GP)||PC O-36:2/PC P-36:1|PC(O-18:1/18:1)/PC(P-18:0/18:1)||C44H86NO7P|771,6102|11,35
GLYCEROPHOSPHOLIPIDS (GP)||PC O-36:3/PC P-36:2|PC(O-18:1/18:2)/PC(P-18:0/18:2)||C44H84NO7P|769,6011|9,57
GLYCEROPHOSPHOLIPIDS (GP)||PC O-38:5/PC P-38:4|PC(O-18:1/20:4)/PC(P-18:0/20:4)||C46H84NO7P|793,6005|9,29
GLYCEROPHOSPHOLIPIDS (GP)||PC O-40:7/PC P-40:6|PC(O-18:1/22:6)/PC(P-18:0/22:6)||C48H84NO7P|817,5960|8,82
GLYCEROPHOSPHOLIPIDS (GP)||PC O-38:5/PC P-38:4|PC(O-18:1_20:4)/PC(P-18:0_20:4)||C46H84NO7P|793,5986|11,05
GLYCEROPHOSPHOLIPIDS (GP)||PC O-40:4/PC P-40:3|PC(O-20:0_20:4)||C48H90NO7P|823,6455|11,92
GLYCEROPHOSPHOLIPIDS (GP)||PC O-40:5/PC P-40:4|PC(O-20:1_20:4)/PC(P-20:0_20:4)||C48H88NO7P|821,6314|11,47
GLYCEROPHOSPHOLIPIDS (GP)||PC O-42:4/PC P-42:3|PC(O-22:0_20:4)||C50H94NO7P|851,6756|12,17
GLYCEROPHOSPHOLIPIDS (GP)||PC O-42:5/PC P-42:4|PC(O-22:1_20:4)/PC(O-22:0_20:4)||C50H92NO7P|849,6568|11,94
